FormName,FormFreq,Username,"Over the last week, or since you last completed this question, please provide reflections about any misunderstandings you have experienced in the workplace, why you think they occurred, and how you think they were (or could be) successfully resolved? (please remember not to use real names of people you work with)","Over the last week, or since you last completed this question, please provide reflections about any successes you have experienced in the workplace? (please remember not to use real names of people you work with)","Please describe any adjustments (i.e. physcial changes to your workspace, management changes to the processes for completing tasks, or logistical changes to working hours or transport to work)","If you have encountered any stories about autism in the media, could you describe them and its impact on you?",Any other reflections that you would like to share? (please remember not to use real names of people you work with),Date,ID
Autistica - Adjustments,7,97777931,I asked for instructions to be written down but they are still provided verbally,I changed jobs and used this app to transfer my reasonable adjustments ,I would like to have more of: Maximise personal space where possible (e.g. spaced out seating in meetings),I watched a film about: difficulty in switching between tasks,I'm finding this app sort of helpful,7/30/2019,1662
Autistica - Adjustments,7,99713717,I love my manager's work ethic because they get the best out of me but I don’t like to be made the centre of attention when I am successful,My typing speed has increased a lot,I've not had much success asking for the following: Online accessible resources about getting up to speed in a new role,I read a newspaper article about: superior focus,I'm finding this app sort of helpful,7/30/2019,1663
Autistica - Adjustments,7,93466703,My manager often criticises me,I was praised by my coworkers but not my manager,Here are some things that have helped Tinted glasses (to minimise overpowering lights),I watched a film about: difficulty in switching between tasks,I think there should be better pathways to requesting adjustments,7/30/2019,1664
Autistica - Adjustments,7,37419497,"Communciation styles are where there are misunderstnadings. I am an introvert, they are an extrovert",I taught my coworkers to use this app,I have requested this: Reduced overnight stays,I read a newspaper article about: difficulty in switching between tasks,I can’t think of any right now,7/30/2019,1665
Autistica - Adjustments,7,35358065,My manager often criticises me,I was successful in factoring in enough time to arrive at meetings without feeling flushed,I have requested this: Relaxed obligations to social commitments,I saw a story about a: a cyber hacker,I think there should be more research in to employment opportunities,7/30/2019,1666
Autistica - Adjustments,7,86131995,Sometime people misread my facial expressions,I was successful in factoring in enough time to arrive at meetings without feeling flushed,I have requested this: Handouts in advance of training/ presentations,My friend told me about another friend who said that:  bad parenting,I think there should be better pathways to requesting adjustments,7/30/2019,1667
Autistica - Adjustments,7,57180656,I'm always asked to shake hands of clients but I don’t like to touch other people,I was successufl in extending my contract,Here are some things that have helped Minimise meeting attendance,I saw a story about a: excellent autistic creativity,Nope,7/30/2019,1668
Autistica - Adjustments,7,62929404,Every birthday my office buys me cake but I don't eat cake,I enjoyed my work this week,What has really helped is: Repositioning of desk (e.g. in corner to avoid being startled),I saw a story about a: a mathematic genius,Nope,7/30/2019,1669
Autistica - Adjustments,7,30901982,I love my manager's work ethic because they get the best out of me but I don’t like to be made the centre of attention when I am successful,I was successful in factoring in enough time to arrive at meetings without feeling flushed,Here are some things that have helped Site blocker software to avoid internet distractions,I watched a film about: a mathematic genius,I would like to upgrade this app,7/30/2019,1670
Autistica - Adjustments,7,93085379,I asked not to be moved to another team but this was rejected,I taught my coworkers to use this app,Some things which I have tried are: Allocated parking space,I read a newspaper article about: low income and employment for autistic people,Really enjoying this app,7/30/2019,1671
Autistica - Adjustments,7,77431644,We always have misunderstandings in communication but despite trying to adjust for my manager I do not feel they are really adjusting for me. ,I have reduced the arguments I have with people,I have requested this: Minimise away days,I read a newspaper article about: excellent autistic creativity,I think there has been enough research on younger populations,7/30/2019,1672
Autistica - Adjustments,7,67013133,I was reallocated a new desk even though I liked my old desk,I enjoyed my work this week,What has really helped is: Written questions for job interviews and circulated ahead of time,I saw a story about a: bad parenting,I think there should be more research in to employment opportunities,7/30/2019,1673
Autistica - Adjustments,7,13838301,I'm really sensitive to noise and asked to be seated away from the kitchen but this was refused,I had a meeting with my boss to change the lighting and it was changed,What has really helped is: Minimising public-facing responsibilities,My friend told me about another friend who said that:  difficulty in switching between tasks,Visualisations are nice,7/30/2019,1674
